"","LC","YEAR","BIOME","T_MAPCODE","km2"
"473","nat",1990,"Albany Thicket","AT20",22.214
"474","nat",1990,"Albany Thicket","AT21",321.126
"475","nat",1990,"Albany Thicket","AT22",109.5176
"476","nat",1990,"Albany Thicket","AT23",272.4976
"477","nat",1990,"Albany Thicket","AT24",2631.7344
"478","nat",1990,"Albany Thicket","AT25",2116.8632
"479","nat",1990,"Albany Thicket","AT26",32.3728
"480","nat",1990,"Albany Thicket","AT27",1234.4484
"481","nat",1990,"Albany Thicket","AT28",920.2624
"482","nat",1990,"Albany Thicket","AT29",771.7464
"483","nat",1990,"Albany Thicket","AT30",633.7716
"484","nat",1990,"Albany Thicket","AT31",212.2452
"485","nat",1990,"Albany Thicket","AT32",3489.004
"486","nat",1990,"Albany Thicket","AT33",486.4956
"487","nat",1990,"Albany Thicket","AT34",163.5256
"488","nat",1990,"Albany Thicket","AT35",19.5128
"489","nat",1990,"Albany Thicket","AT36",33.5308
"490","nat",1990,"Albany Thicket","AT37",122.4728
"491","nat",1990,"Albany Thicket","AT38",909.3172
"492","nat",1990,"Albany Thicket","AT39",225.77
"493","nat",1990,"Albany Thicket","AT40",502.0212
"494","nat",1990,"Albany Thicket","AT41",220.4128
"495","nat",1990,"Albany Thicket","AT42",54.6732
"496","nat",1990,"Albany Thicket","AT43",270.7712
"497","nat",1990,"Albany Thicket","AT44",88.7144
"498","nat",1990,"Albany Thicket","AT45",451.4752
"499","nat",1990,"Albany Thicket","AT46",557.298
"500","nat",1990,"Albany Thicket","AT47",894.258
"501","nat",1990,"Albany Thicket","AT48",12.304
"502","nat",1990,"Albany Thicket","AT49",5561.6916
"503","nat",1990,"Albany Thicket","AT50",526.6208
"504","nat",1990,"Albany Thicket","AT51",1789.8828
"505","nat",1990,"Albany Thicket","AT52",31.8148
"506","nat",1990,"Albany Thicket","AT53",19.4924
"507","nat",1990,"Albany Thicket","AT54",185.6204
"508","nat",1990,"Albany Thicket","AT55",749.5344
"509","nat",1990,"Albany Thicket","AT56",499.2812
"510","nat",1990,"Albany Thicket","AT57",112.0368
"511","nat",1990,"Albany Thicket","AT58",2231.5716
"512","nat",1990,"Azonal","AZa1",18.3164
"513","nat",1990,"Azonal","AZa2",156.8812
"514","nat",1990,"Azonal","AZa3",593.3988
"515","nat",1990,"Azonal","AZa4",1364.7744
"516","nat",1990,"Azonal","AZa5",2284.7876
"517","nat",1990,"Azonal","AZa6",339.1896
"518","nat",1990,"Azonal","AZa7",955.916
"519","nat",1990,"Azonal","AZd1",0.6076
"520","nat",1990,"Azonal","AZd2",10.9352
"521","nat",1990,"Azonal","AZd3",216.7732
"522","nat",1990,"Azonal","AZd4",26.8056
"523","nat",1990,"Azonal","AZi1",1228.31
"524","nat",1990,"Azonal","AZi3",1916.4824
