"","T_MAPCODE","T_BIOME","T_Name","RLE_EPL","RLE","Criteria_triggered","EPL"
"324","SKr16","Succulent Karoo","Umdaus Mountains Succulent Shrubland","LC_NP","LC","","NP"
"325","SKr17","Succulent Karoo","Eenriet Plains Succulent Shrubland","LC_NP","LC","","NP"
"326","SKr18","Succulent Karoo","Bushmanland Inselberg Shrubland","LC_PP","LC","","PP"
"327","SKr19","Succulent Karoo","Aggeneys Gravel Vygieveld","LC_WP","LC","","WP"
"328","SKr2","Succulent Karoo","Upper Annisvlakte Succulent Shrubland","CR_MP","CR","B1i_sup","MP"
"329","SKr3","Succulent Karoo","Goariep Mountain Succulent Shrubland","LC_WP","LC","","WP"
"330","SKr4","Succulent Karoo","Lekkersing Succulent Shrubland","LC_MP","LC","","MP"
"331","SKr5","Succulent Karoo","Vyftienmyl se Berge Succulent Shrubland","LC_WP","LC","","WP"
"332","SKr6","Succulent Karoo","Stinkfonteinberge Eastern Apron Shrubland","LC_WP","LC","","WP"
"333","SKr7","Succulent Karoo","Northern Richtersveld Scorpionstailveld","EN_WP","EN","B1i_sup","WP"
"334","SKr8","Succulent Karoo","Rosyntjieberg Succulent Shrubland","LC_WP","LC","","WP"
"335","SKr9","Succulent Karoo","Tatasberg Mountain Succulent Shrubland","LC_WP","LC","","WP"
"336","SVcb11","Savanna","Andesite Mountain Bushveld","LC_PP","LC","","PP"
"337","SVk1","Savanna","Mafikeng Bushveld","LC_NP","LC","","NP"
"338","SVk18","Savanna","Morokweng Thornveld","LC_NP","LC","","NP"
"339","SVk2","Savanna","Stella Bushveld","LC_NP","LC","","NP"
"340","SVk17","Savanna","Vryburg Thornveld","LC_NP","LC","","NP"
"341","AZa5","Azonal Vegetation","Highveld Alluvial Vegetation","LC_PP","LC","","PP"
"342","FOa1","Forests","Lowveld Riverine Forest","VU_WP","VU","B2i_rod","WP"
"343","FOz8","Forests","Sand Forest","LC_WP","LC","","WP"
"344","FOz4","Forests","Northern Mistbelt Forest","LC_WP","LC","","WP"
"345","FOz9","Forests","Ironwood Dry Forest","LC_WP","LC","","WP"
"346","CB1","Indian Ocean Coastal Belt","Maputaland Coastal Belt","EN_MP","EN","B1i_rod","MP"
"347","Gd10","Grassland","Drakensberg Afroalpine Heathland","LC_WP","LC","","WP"
"348","Gd5","Grassland","Northern Drakensberg Highland Grassland","LC_WP","LC","","WP"
"349","Gd6","Grassland","Drakensberg-Amathole Afromontane Fynbos","LC_WP","LC","","WP"
"350","Gd7","Grassland","uKhahlamba Basalt Grassland","LC_WP","LC","","WP"
"351","Gh10","Grassland","Vaal-Vet Sandy Grassland","EN_NP","EN","A3_nat","NP"
