"","T_MAPCODE","YEAR","km2","prop_nat","A3"
"385","CB3",1750,4141.8068,1,"LC"
"386","CB3",1990,1125.1684,0.271661246970766,"EN"
"387","CB3",2014,807.47,0.194955979115202,"EN"
"388","CB3",2018,684.6244,0.165296073201676,"EN"
"389","CB3",2020,677.9888,0.163693970467188,"EN"
"390","CB3",2022,672.314,0.162323843787209,"EN"
"391","CB4",1750,1299.9024,1,"LC"
"392","CB4",1990,708.1036,0.544735974023896,"LC"
"393","CB4",2014,667.2452,0.513304075752149,"LC"
"394","CB4",2018,646.3276,0.497212406100643,"VU"
"395","CB4",2020,643.7312,0.495215025374213,"VU"
"396","CB4",2022,641.0904,0.493183488237271,"VU"
"397","CB5",1750,1650.386,1,"LC"
"398","CB5",1990,1016.9328,0.616178760605095,"LC"
"399","CB5",2014,929.7136,0.56333100256546,"LC"
"400","CB5",2018,903.3732,0.547370857484249,"LC"
"401","CB5",2020,901.496,0.546233426604443,"LC"
"402","CB5",2022,899.2332,0.54486235341308,"LC"
"403","CB6",1750,1121.1792,1,"LC"
"404","CB6",1990,483.28,0.431046169961055,"VU"
"405","CB6",2014,440.6516,0.393025129256768,"VU"
"406","CB6",2018,414.2556,0.369482059602961,"VU"
"407","CB6",2020,412.7432,0.368133122697959,"VU"
"408","CB6",2022,411.5112,0.36703427962274,"VU"
"409","Dg1",1750,335.9332,1,"LC"
"410","Dg1",1990,335.6452,0.999142686700808,"LC"
"411","Dg1",2014,335.6452,0.999142686700808,"LC"
"412","Dg1",2018,333.036,0.991375666352715,"LC"
"413","Dg1",2020,333.016,0.991316130706938,"LC"
"414","Dg1",2022,332.8976,0.990963679683937,"LC"
"415","Dg10",1750,2094.648,1,"LC"
"416","Dg10",1990,2091.7496,0.998616283022255,"LC"
"417","Dg10",2014,2090.4224,0.997982668209647,"LC"
"418","Dg10",2018,2084.7316,0.995249684677674,"LC"
"419","Dg10",2020,2084.4008,0.995091760945098,"LC"
"420","Dg10",2022,2084.2796,0.995033900133767,"LC"
"421","Dg2",1750,361.43,1,"LC"
"422","Dg2",1990,361.4276,0.999993359710041,"LC"
"423","Dg2",2014,361.4276,0.999993359710041,"LC"
"424","Dg2",2018,361.418,0.999966798550203,"LC"
"425","Dg2",2020,361.398,0.999911462800542,"LC"
"426","Dg2",2022,361.3932,0.999898182220624,"LC"
"427","Dg3",1750,160.0684,1,"LC"
"428","Dg3",1990,159.6936,0.997658500990826,"LC"
"429","Dg3",2014,159.6936,0.997658500990826,"LC"
"430","Dg3",2018,156.5212,0.977839473625025,"LC"
"431","Dg3",2020,156.5132,0.977789494990891,"LC"
"432","Dg3",2022,156.4688,0.977512113571448,"LC"
"433","Dg4",1750,107.7996,1,"LC"
"434","Dg4",1990,107.52,0.997406298353612,"LC"
"435","Dg4",2014,107.5172,0.997380324231259,"LC"
"436","Dg4",2018,107.2488,0.994890519074282,"LC"
"437","Dg4",2020,107.242,0.994827439062854,"LC"
"438","Dg4",2022,107.1928,0.994371036627223,"LC"
"439","Dg5",1750,592.286,1,"LC"
"440","Dg5",1990,592.286,1,"LC"
"441","Dg5",2014,592.286,1,"LC"
"442","Dg5",2018,592.016,0.999544139148992,"LC"
"443","Dg5",2020,591.9524,0.999436758592977,"LC"
"444","Dg5",2022,591.9344,0.999406367869577,"LC"
"445","Dg6",1750,8.2236,1,"LC"
"446","Dg6",1990,8.2236,1,"LC"
"447","Dg6",2014,8.2236,1,"LC"
"448","Dg6",2018,8.1068,0.98579697456102,"LC"
"449","Dg6",2020,8.1068,0.98579697456102,"LC"
"450","Dg6",2022,8.1068,0.98579697456102,"LC"
"451","Dg7",1750,247.0048,1,"LC"
"452","Dg7",1990,246.0048,0.995951495679436,"LC"
"453","Dg7",2014,245.4416,0.993671378046095,"LC"
"454","Dg7",2018,244.1796,0.988562165593543,"LC"
"455","Dg7",2020,244.1176,0.988311158325668,"LC"
"456","Dg7",2022,244.0452,0.988018046612859,"LC"
"457","Dg8",1750,343.1992,1,"LC"
"458","Dg8",1990,343.1836,0.999954545348591,"LC"
"459","Dg8",2014,343.1836,0.999954545348591,"LC"
"460","Dg8",2018,342.9408,0.999247084492038,"LC"
"461","Dg8",2020,342.932,0.999221443406628,"LC"
"462","Dg8",2022,342.9244,0.999199298832864,"LC"
"463","Dg9",1750,1217.99,1,"LC"
"464","Dg9",1990,1211.024,0.994280741221192,"LC"
"465","Dg9",2014,1203.2272,0.98787937503592,"LC"
"466","Dg9",2018,1198.7404,0.984195600949105,"LC"
"467","Dg9",2020,1198.4944,0.983993628847528,"LC"
"468","Dg9",2022,1198.2608,0.983801837453509,"LC"
"469","Dn1",1750,17.0928,1,"LC"
"470","Dn1",1990,2.2132,0.129481419077038,"EN"
"471","Dn1",2014,2.1032,0.123045960872414,"EN"
"472","Dn1",2018,1.3744,0.0804081250585042,"CR"
"473","Dn1",2020,1.3716,0.0802443133951137,"CR"
"474","Dn1",2022,1.3532,0.0791678367499766,"CR"
"475","Dn2",1750,1.5428,1,"LC"
