"","type","zone","get","extent","RLE","EPL","RLE_EPL","realm"
"322","SKr13","Succulent Karoo","T5.2",721.8316,"CR","NP","CR_NP","ter"
"323","SKr15","Succulent Karoo","T5.2",200.304,"LC","NP","LC_NP","ter"
"324","SKr16","Succulent Karoo","T5.2",432.3352,"LC","NP","LC_NP","ter"
"325","SKr17","Succulent Karoo","T5.2",259.666,"LC","NP","LC_NP","ter"
"326","SKr18","Succulent Karoo","T4.1",812.362,"LC","PP","LC_PP","ter"
"327","SKr19","Succulent Karoo","T5.2",367.7144,"LC","WP","LC_WP","ter"
"328","SKr2","Succulent Karoo","T5.2",191.3312,"CR","MP","CR_MP","ter"
"329","SKr3","Succulent Karoo","T5.2",170.7376,"LC","WP","LC_WP","ter"
"330","SKr4","Succulent Karoo","T5.2",827.1612,"LC","MP","LC_MP","ter"
"331","SKr5","Succulent Karoo","T5.2",18.3652,"LC","WP","LC_WP","ter"
"332","SKr6","Succulent Karoo","T5.2",65.8232,"LC","WP","LC_WP","ter"
"333","SKr7","Succulent Karoo","T5.2",326.5544,"EN","WP","EN_WP","ter"
"334","SKr8","Succulent Karoo","T5.2",50.5104,"LC","WP","LC_WP","ter"
"335","SKr9","Succulent Karoo","T5.2",3.2652,"LC","WP","LC_WP","ter"
"336","SVcb11","Savanna","T4.2",2493.6388,"LC","PP","LC_PP","ter"
"337","SVk1","Savanna","T4.2",12001.9708,"LC","NP","LC_NP","ter"
"338","SVk18","Savanna",NA,953.0492,"LC","NP","LC_NP","ter"
"339","SVk2","Savanna","T4.1",3227.4224,"LC","NP","LC_NP","ter"
"340","SVk17","Savanna",NA,3751.572,"LC","NP","LC_NP","ter"
"341","AZa5","Azonal Vegetation","T4.5",2106.648,"LC","PP","LC_PP","ter"
"342","FOa1","Forests","T1.2",133.4168,"VU","WP","VU_WP","ter"
"343","FOz8","Forests","T4.2",244.2452,"LC","WP","LC_WP","ter"
"344","FOz4","Forests","T2.4",288.9104,"LC","WP","LC_WP","ter"
"345","FOz9","Forests","T4.2",81.2604,"LC","WP","LC_WP","ter"
"346","CB1","Indian Ocean Coastal Belt","T4.2",832.548,"EN","MP","EN_MP","ter"
"347","Gd10","Grassland","T4.5",2753.284,"LC","WP","LC_WP","ter"
"348","Gd5","Grassland","T4.5",1116.0928,"LC","WP","LC_WP","ter"
"349","Gd6","Grassland","T4.5",21.5476,"LC","WP","LC_WP","ter"
"350","Gd7","Grassland","T4.5",1345.922,"LC","WP","LC_WP","ter"
"351","Gh10","Grassland","T4.5",5813.4168,"EN","NP","EN_NP","ter"
"352","Gh11","Grassland","T4.5",416.9716,"CR","NP","CR_NP","ter"
"353","Gh12","Grassland","T4.5",221.1288,"LC","NP","LC_NP","ter"
"354","Gh15","Grassland","T4.5",5468.9772,"LC","PP","LC_PP","ter"
"355","Gh5","Grassland","T4.5",2576.7764,"LC","PP","LC_PP","ter"
"356","Gh6","Grassland","T4.5",10488.0812,"LC","PP","LC_PP","ter"
"357","Gh7","Grassland","T4.5",1286.1452,"LC","PP","LC_PP","ter"
"358","Gh8","Grassland","T4.5",66.1308,"LC","MP","LC_MP","ter"
"359","Gh9","Grassland","T4.5",5306.9972,"LC","PP","LC_PP","ter"
"360","Gm10","Grassland","T4.5",183.1432,"CR","PP","CR_PP","ter"
"361","Gm11","Grassland","T4.5",4209.3672,"VU","PP","VU_PP","ter"
"362","Gm12","Grassland","T4.5",3707.4124,"EN","PP","EN_PP","ter"
"363","Gm13","Grassland","T4.5",2126.2596,"LC","PP","LC_PP","ter"
"364","Gm14","Grassland","T4.5",2950.1124,"LC","PP","LC_PP","ter"
"365","Gm15","Grassland","T4.5",1967.0736,"EN","PP","EN_PP","ter"
"366","Gm16","Grassland","T4.5",5328.8756,"EN","PP","EN_PP","ter"
"367","Gm17","Grassland","T4.5",805.2008,"LC","WP","LC_WP","ter"
"368","Gm19","Grassland","T4.5",847.0616,"LC","NP","LC_NP","ter"
"369","Gm20","Grassland","T4.5",18.3784,"LC","NP","LC_NP","ter"
"370","Gm21","Grassland","T4.5",1192.6756,"LC","PP","LC_PP","ter"
"371","Gm22","Grassland","T4.5",352.086,"EN","PP","EN_PP","ter"
"372","Gm23","Grassland","T4.5",759.7868,"LC","MP","LC_MP","ter"
"373","Gm24","Grassland","T4.5",9.3328,"LC","WP","LC_WP","ter"
"374","Gm25","Grassland","T4.5",103.7852,"CR","PP","CR_PP","ter"
"375","Gm26","Grassland","T4.5",242.2212,"LC","WP","LC_WP","ter"
"376","Gm27","Grassland","T4.5",261.144,"LC","WP","LC_WP","ter"
"377","Gm28","Grassland","T4.5",91.556,"LC","WP","LC_WP","ter"
"378","Gm29","Grassland","T4.5",502.7088,"LC","WP","LC_WP","ter"
"379","Gm3","Grassland","T4.5",6008.3952,"VU","NP","VU_NP","ter"
"380","Gm30","Grassland","T4.5",2611.3308,"LC","PP","LC_PP","ter"
"381","Gm31","Grassland","T4.5",536.1616,"LC","WP","LC_WP","ter"
"382","Gm4","Grassland","T4.5",7447.7704,"LC","PP","LC_PP","ter"
"383","Gm6","Grassland","T4.5",5464.9784,"LC","NP","LC_NP","ter"
"384","Gm7","Grassland","T4.5",27.6196,"LC","PP","LC_PP","ter"
"385","Gm8","Grassland","T4.5",5504.348,"VU","NP","VU_NP","ter"
"386","Gm9","Grassland","T4.5",435.8432,"EN","PP","EN_PP","ter"
"387","Gs1","Grassland","T4.5",281.4492,"EN","PP","EN_PP","ter"
