"","T_MAPCODE","A3_fin","A3_prplost","A2b_fin","A2b_prplost50","B1_fin","B2_fin","RoD","D3_fin","D3_prpdeg","prp_invmax","RLE","Criteria_triggered","Criteria_used"
"275","Gm8","VU",0.620204861683133,"LC",0.225211068382766,"VU","LC",0.5,"LC",0,0.00649682759883641,"VU","A3_nat, B1i_rod","A3_nat, A2b, B1i_rod, B2i_rod, B2i_invmax, B2iii_sp, "
"276","Gm9","VU",0.668112470545807,"VU",0.328913285106062,"EN","VU",0.7,"LC",0,0.00233203133604012,"EN","B1i_rod","A3_nat, A2b, B1i_rod, B2i_rod, "
"277","Gs1","LC",0.435617212656915,"LC",0.274172597124553,"EN","VU",0.5,"LC",0,0.0269746725163902,"EN","B1i_rod","A3_nat, A3_kzn, A2b, B1i_rod, B2i_rod, "
"278","Gs10","LC",0.307767233209018,"LC",0.130811353593806,"LC","LC",0.3,"LC",0,0.0788501959473297,"LC","","A3_nat, A2b, B1i_rod, B1i_invmax, B1iii_sp, B2i_rod, B2i_invmax, B2iii_sp, "
"279","Gs11","VU",0.564194388252202,"LC",0.250185403661189,"EN","VU",0.5,"LC",0,0.0607505092455798,"EN","B1i_rod","A3_nat, A2b, B1i_rod, B2i_rod, "
"280","Gs12","LC",0.46173045272082,"LC",0.167445053420539,"LC","LC",0.3,"LC",0,0.0901073714305661,"LC","","A3_nat, A2b, B1i_rod, B1i_invmax, B1iii_sp, B2i_rod, B2i_invmax, B2iii_sp, "
"281","Gs13","VU",0.699232392080493,"VU",0.322619317768253,"CR","EN",0.6,"LC",0,0.0140018237442873,"CR","B1i_rod","A3_nat, A2b, B1i_rod, B2i_rod, "
"282","Gs14","VU",0.595609344919563,"LC",0.215646290775942,"EN","LC",0.4,"LC",0,0.0282393199400635,"EN","B1i_rod","A3_nat, A2b, B1i_rod, B2i_rod, B2i_invmax, B2iii_sp, "
"283","Gs15","LC",0.395819464498629,"LC",0.0987615499422767,"LC","LC",0.2,"LC",0,0.0211980860913686,"LC","","A3_nat, A2b, B1i_rod, B1i_invmax, B1iii_sp, B2i_rod, B2i_invmax, B2iii_sp, "
"284","Gs16","LC",0.173606015082962,"LC",0.060801210235533,"LC","LC",0.1,"LC",0,0.00109159726463147,"LC","","A3_nat, A2b, B1i_rod, B1i_invmax, B1iii_sp, B2i_rod, B2i_invmax, B2iii_sp, "
