"","T_MAPCODE","D3_fin","D3_source","D3_prcdeg","prpinv_max","D3_inv"
"376","SVcb12","LC","D3_inv",0,0.0049638379668723,"LC"
"377","SVcb13","LC","D3_inv",0,0.00834623144874007,"LC"
"378","SVcb14","LC","D3_inv",0,0.00162637298879126,"LC"
"379","SVcb15","LC","D3_inv",0,0.000869506644254709,"LC"
"380","SVcb16","LC","D3_inv",0,0.000267548991341517,"LC"
"381","SVcb17","LC","D3_inv",0,0.00366467404681833,"LC"
"382","SVcb18","LC","D3_inv",0,0.000730797685156583,"LC"
"383","SVcb19","LC","D3_inv",0,0,"LC"
"384","SVcb2","LC","D3_inv",0,0.0000453592133671371,"LC"
"385","SVcb20","LC","D3_inv",0,0.00611605179337623,"LC"
"386","SVcb21","LC","D3_inv",0,0.0426379552294378,"LC"
"387","SVcb22","LC","D3_inv",0,0.112866817155756,"LC"
"388","SVcb23","LC","D3_inv",0,0.00595989495951101,"LC"
"389","SVcb24","LC","D3_inv",0,0.0178288930360265,"LC"
"390","SVcb25","LC","D3_inv",0,0.00573608104690275,"LC"
"391","SVcb26","LC","D3_inv",0,0.0177908456556032,"LC"
"392","SVcb27","LC","D3_inv",0,0.00132021710530665,"LC"
"393","SVcb28","LC","D3_inv",0,0.00736942281842409,"LC"
"394","SVcb29","LC","D3_inv",0,0,"LC"
"395","SVcb3","LC","D3_inv",0,0.00990977825640242,"LC"
"396","SVcb4","LC","D3_inv",0,0.00394825422060129,"LC"
"397","SVcb5","LC","D3_inv",0,0,"LC"
"398","SVcb6","LC","D3_inv",0,0.0168185375150427,"LC"
"399","SVcb7","LC","D3_inv",0,0.00257098751408779,"LC"
"400","SVcb8","LC","D3_inv",0,0.0146428224178941,"LC"
"401","SVcb9","LC","D3_inv",0,0.0222596664389779,"LC"
"402","SVk1","LC","D3_inv",0,0.0000153974712219763,"LC"
"403","SVk10","LC","D3_inv",0,0.000315613647593354,"LC"
"404","SVk11","LC","D3_inv",0,0.000418681368300386,"LC"
"405","SVk12","LC","D3_inv",0,0.000179023280747772,"LC"
"406","SVk13","LC","D3_inv",0,0.00515879218411638,"LC"
"407","SVk14","LC","D3_inv",0,0.000217523986674272,"LC"
"408","SVk15","LC","D3_inv",0,0.000580256871257918,"LC"
